case:concept:name,concept:name,org:resource,case:variant,time:timestamp,start:timestamp,time_from_start,time_from_previous_event(start),time_from_midnight,weekday,event_duration,remaining_time,leadtime,# ACTIVITY=Cancelar Solicitud,# ACTIVITY=Transferir creditos homologables,# ACTIVITY=Validar solicitud,# ACTIVITY=Visto Bueno Cierre Proceso,# ACTIVITY=Transferir Creditos,# ACTIVITY=Notificacion estudiante cancelacion soli,# ACTIVITY=Traer informacion estudiante - banner,# ACTIVITY=Homologacion por grupo de cursos,# ACTIVITY=Avanzar recepcion documentos,# ACTIVITY=Radicar Solicitud Homologacion,# ACTIVITY=Validacion final,# ACTIVITY=Validar solicitud / pre-homologacion,# ACTIVITY=Evaluacion curso,# ACTIVITY=Revisar curso,# ACTIVITY=Cancelar curso,# ACTIVITY=Recepcion de documentos,NEXT_ACTIVITY,NEXT_RESOURCE
81051,Traer informacion estudiante - banner,8997,Variant 2,2016-02-01 13:23:52+00:00,2016-02-01 13:23:52+00:00,0.0,0.0,48232.0,Monday,0.0,29663.0,494.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,8997
81051,Radicar Solicitud Homologacion,8997,Variant 2,2016-02-01 13:24:02+00:00,2016-02-01 13:23:52+00:00,0.0,0.0,48232.0,Monday,10.0,29653.0,494.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,387
81051,Validar solicitud,387,Variant 2,2016-02-01 13:32:06+00:00,2016-02-01 13:24:02+00:00,10.0,10.0,48242.0,Monday,484.0,29169.0,494.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Homologacion por grupo de cursos,1007
81051,Homologacion por grupo de cursos,1007,Variant 2,2016-02-01 21:38:15+00:00,2016-02-01 13:32:06+00:00,494.0,484.0,48726.0,Monday,29169.0,0.0,494.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
81102,Traer informacion estudiante - banner,6426,Variant 2,2016-02-01 18:53:46+00:00,2016-02-01 18:53:46+00:00,0.0,0.0,68026.0,Monday,0.0,190492.0,176149.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,6426
81102,Radicar Solicitud Homologacion,6426,Variant 2,2016-02-01 19:09:56+00:00,2016-02-01 18:53:46+00:00,0.0,0.0,68026.0,Monday,970.0,189522.0,176149.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,22475
81102,Validar solicitud,22475,Variant 2,2016-02-03 19:49:35+00:00,2016-02-01 19:09:56+00:00,970.0,970.0,68996.0,Monday,175179.0,14343.0,176149.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Homologacion por grupo de cursos,1343
81102,Homologacion por grupo de cursos,1343,Variant 2,2016-02-03 23:48:38+00:00,2016-02-03 19:49:35+00:00,176149.0,175179.0,71375.0,Wednesday,14343.0,0.0,176149.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,end,end
81201,Traer informacion estudiante - banner,8916,Variant 22,2016-02-02 07:39:32+00:00,2016-02-02 07:39:32+00:00,0.0,0.0,27572.0,Tuesday,0.0,167740.0,160559.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,8916
81201,Radicar Solicitud Homologacion,8916,Variant 22,2016-02-02 07:55:38+00:00,2016-02-02 07:39:32+00:00,0.0,0.0,27572.0,Tuesday,966.0,166774.0,160559.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Notificacion estudiante cancelacion soli,8916
81201,Notificacion estudiante cancelacion soli,8916,Variant 22,2016-02-04 04:15:31+00:00,2016-02-02 07:55:38+00:00,966.0,966.0,28538.0,Tuesday,159593.0,7181.0,160559.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Cancelar Solicitud,8916
81201,Cancelar Solicitud,8916,Variant 22,2016-02-04 06:15:12+00:00,2016-02-04 04:15:31+00:00,160559.0,159593.0,15331.0,Thursday,7181.0,0.0,160559.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,end,end
81301,Traer informacion estudiante - banner,4867,Variant 9,2016-02-02 10:30:08+00:00,2016-02-02 10:30:08+00:00,0.0,0.0,37808.0,Tuesday,0.0,532335.0,2395.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radicar Solicitud Homologacion,4867
81301,Radicar Solicitud Homologacion,4867,Variant 9,2016-02-02 10:30:12+00:00,2016-02-02 10:30:08+00:00,0.0,0.0,37808.0,Tuesday,4.0,532331.0,2395.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Validar solicitud,22475
81301,Validar solicitud,22475,Variant 9,2016-02-02 10:49:59+00:00,2016-02-02 10:30:12+00:00,4.0,4.0,37812.0,Tuesday,1187.0,531144.0,2395.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Cancelar Solicitud,669
